Dataset,Budget_%,Budget_Value,avg_BV,avg_req_cvg,avg_test_cvg,avg_pareto_size,std_BV,std_req_cvg,std_test_cvg,std_pareto_size
HalfSize_40-124,5,17.482499999999998,736.4666666666667,23.817204301075268,24.083333333333332,100.0,1.927577639306795,1.5544980962151573,1.2047360245667467,0.0
HalfSize_40-124,10,34.964999999999996,1128.2,39.83870967741935,41.75,100.0,1.8330302779823362,0.7391251120896501,1.14564392373896,0.0
HalfSize_40-124,15,52.4475,1454.0,51.61290322580643,57.5,100.0,0.0,2.1316282072803006e-14,0.0,0.0
HalfSize_40-124,20,69.92999999999999,1659.0,60.483870967741936,67.5,100.0,0.0,0.0,0.0,0.0
HalfSize_40-124,25,87.4125,1785.0,68.54838709677418,77.5,100.0,0.0,1.4210854715202004e-14,0.0,0.0
HalfSize_40-124,30,104.895,1853.0,76.61290322580642,90.0,100.0,0.0,2.842170943040401e-14,0.0,0.0
HalfSize_40-124,35,122.37749999999998,1853.0,76.61290322580642,90.0,100.0,0.0,2.842170943040401e-14,0.0,0.0
HalfSize_40-124,40,139.85999999999999,1862.4,75.48387096774192,86.91666666666667,100.0,17.007057358637912,1.915216465651275,5.191472709057508,0.0
HalfSize_40-124,45,157.3425,1989.0,80.64516129032258,90.0,100.0,0.0,0.0,0.0,0.0
HalfSize_40-124,50,174.825,1994.0,82.25806451612908,92.5,100.0,0.0,4.263256414560601e-14,0.0,0.0
HalfSize_40-124,55,192.3075,2016.0,81.45161290322582,92.5,100.0,0.0,1.4210854715202004e-14,0.0,0.0
HalfSize_40-124,60,209.79,2074.0,83.06451612903224,90.0,100.0,0.0,1.4210854715202004e-14,0.0,0.0
HalfSize_40-124,65,227.27249999999998,2095.233333333333,84.35483870967745,91.58333333333333,100.0,10.05214183920798,2.5722309062162805,4.540710908608425,0.0
HalfSize_40-124,70,244.75499999999997,2157.0,87.09677419354836,95.0,100.0,0.0,2.842170943040401e-14,0.0,0.0
HalfSize_40-124,75,262.23749999999995,2142.5666666666666,85.96774193548387,91.16666666666667,100.0,6.489393054995377,0.7391251120896501,1.9075871903765997,0.0
HalfSize_40-124,80,279.71999999999997,2199.366666666667,85.18817204301075,88.08333333333333,100.0,10.830461157720332,1.5084933168385184,2.556310275029661,0.0
HalfSize_40-124,85,297.2025,2302.0,91.93548387096776,97.5,100.0,0.0,1.4210854715202004e-14,0.0,0.0
HalfSize_40-124,90,314.685,2302.0,91.93548387096776,97.5,100.0,0.0,1.4210854715202004e-14,0.0,0.0
HalfSize_40-124,95,332.16749999999996,2340.2,88.76344086021503,88.0,100.0,10.759182125050213,0.6562664309534252,1.8708286933869707,0.0
